boss_id,boss_name,character_template_id,weapon_id,weapon_lv,skill_ids,personality_id,level,strength,agility,intelligence,gold_reward,exp_reward,challenge_focus,desc
BOSS ID,BOSS名称,角色模板ID,武器ID,武器等级,技能ID列表(分号分隔),性格id,等级,力量,敏捷,智力,金币掉落,经验掉落,考验重点,设计描述
1,白菜人,30,22,1,10001,8,4,2,1,3,800,2000,【基础入门】考验玩家对游戏系统的基础理解：技能装备方式、属性分配概念、性格选择入门。通关标准：任意配置即可,【新手教学】沉稳型入门BOSS，双手大剑近战节奏缓慢，仅毒箭单一远程弹道骚扰，给玩家充足反应时间熟悉自动战斗节奏
2,霸王龙,43,25,4,50002;40005;40008;90005,1,20,13,8,1,920,5000,【机动性配置】考验玩家的移动能力预设：高移动倾向性格(灵动)、远程武器选择、位移技能(灵敏步伐等)。核心知识：面对近战压制型敌人需要保持距离,【狂暴践踏者】热血冲脸型，双手大剑高伤害近战，狂怒增幅提升攻速攻击力+战争践踏+震地重击双重范围震荡，被动好战者开场增强无脑追击压迫
3,地狱男爵,11,28,6,50010;20004;20012;90012,1,31,18,5,10,1040,8000,【持续伤害规避】考验玩家的DOT应对预设：高移动倾向避免站桩、防御技能减少灼烧伤害、治疗技能对抗持续消耗。核心知识：面对AOE覆盖需要持续移动而非高防硬抗,【烈焰领主】热血火焰狂人，单手剑高暴击近战配合火圈贴身灼烧+熔岩喷发脚下爆炸+流星雨天降火海，被动烈焰之心火焰伤害+25%三重火焰覆盖
4,白雪公主,31,39,8,10012;10003;30010;20005;90014;90002,3,42,6,12,26,1240,11000,【控制抵抗能力】考验玩家的抗控预设：高攻击性性格(热血)快速击杀分身、单体爆发技能秒杀本体、或防御性性格(沉稳)等待控制结束。核心知识：面对控制型敌人需要抗控或爆发二选一,【欺诈之神】睿智控制型，法器远程魔法输出，魅惑让玩家失控+冰箭冻结减速+分身迷惑真假难辨+寒冰风暴持续冰冻，被动法术偏斜+快步增强生存
5,假面骑士,8,26,10,10005;20006;20009;90013;90006,4,53,22,12,21,1400,14000,【爆发输出能力】考验玩家的速战速决预设：高爆发技能偏好性格(热血)、爆发型技能组合、高攻击属性分配。核心知识：面对debuff堆叠型敌人必须快速结束战斗否则越打越弱,【暗影削弱者】执着磨血型，单手剑高暴击近战配合暗影飞矛降低攻速+黑暗领域削弱属性+荆棘丛林持续消耗，被动毒血+复仇之怒强化减益效果
6,擎天柱,19,11,12,20014;30008;20011;30010;90004;90010,6,64,14,16,36,1600,17000,【AOE清场能力】考验玩家的范围伤害预设：高范围技能偏好性格(睿智)、AOE技能配置(骷髅雷电/熔岩喷发等)、或高单体爆发直接斩首。核心知识：面对召唤型敌人需要AOE清小或集火本体,【机甲指挥官】从容召唤型，步枪远程安全输出，轰炸机空袭骚扰+隔离墙分割战场+导弹打击远程支援+分身协助作战，被动坚硬+伤害适应越战越强
7,大象,13,16,14,40002;50005;40004;40006;50002;90003;90011;90006,5,75,20,42,15,1800,20000,【生存防御能力】考验玩家的承伤预设：高防御性性格(沉稳)、防御技能配置、治疗恢复技能、高生命力量属性。核心知识：面对高速连击敌人需要足够防御或控制打断其攻势,【格斗女皇】坚韧连击型，长柄武器中距离连击，旋风斩多段伤害+元素附魔强化武器+炎刃斩灼烧+拔刀斩快速斩击+狂怒增幅，被动狂热+狂热连击+复仇之怒攻速叠加极限连击
8,春野樱,22,44,16,50012;50011;30008;50008;90001;90010;90015,8,86,38,5,45,2000,23000,【持续DPS能力】考验玩家的持续输出预设：高攻击性性格(热血)持续施压、可打断技能(眩晕弹等)中断治疗、高爆发击杀。核心知识：面对治疗型敌人需要DPS超过回复量或打断治疗源,【不死圣女】沉稳治疗型，双刀高暴击近战配合单体回血+恢复光环+吸血回复+隔离墙阻挡进攻，被动星界躯体+伤害适应+圣光庇佑三重续航超强回复
9,电锯惊魂,29,30,18,30004;30005;30003;10011;50006;90002;90008;90013,7,97,22,45,32,2200,26000,【移动闪避能力】考验玩家的走位预设：极高移动倾向性格(灵动)、机动技能偏好、位移技能配置。核心知识：面对陷阱型敌人纯粹比拼移动能力高攻击反而不重要,【陷阱大师】灵动布阵型，单手剑高暴击灵活走位，陷阱+毒瓶陷阱+时空陷阱遍布场地+眩晕弹定身追击+行走带刺移动布控，被动快步+绝境之舞+毒血高机动毒伤
10,埃及艳后,12,32,20,20007;30010;20010;20008;10012;50004;90001;90010;90014;90009,3,108,30,35,45,2600,30000,【综合配置能力】终极考验玩家的全面预设：需要同时具备抗控(应对时间停滞)、识别能力(应对分身)、生存能力(应对幽灵军团)。核心知识：终极BOSS需要均衡的属性技能性格配置无法偏科,【时空女皇】睿智终极型，法杖远程魔法输出，时间停滞控场+分身迷惑+幽灵军团冲击+黑洞吸引+魅惑控制+魔力泉涌能量无限，被动星界躯体+伤害适应+法术偏斜+饥饿之魂全面强化
